4-character id, ALBH
begin date, 2015-01-01
end date, 2017-01-01
longitude, -123.487470777 E
latitude, 48.3897811345 N
units, meters**0 days**-1
date, north, east, vertical, north std. deviation, east std. deviation, vertical std. deviation
2015-03-17, 2.869738e-10, 2.193422e-10, -2.545369e-10, 6.660118e-10, 6.219427e-10, 9.389685e-10
2015-03-18, 2.880677e-10, 1.733490e-10, -2.199669e-10, 6.669172e-10, 6.227584e-10, 9.400361e-10
2015-03-19, 2.849831e-10, 1.234798e-10, -1.818695e-10, 6.676333e-10, 6.234473e-10, 9.408498e-10
2015-03-20, 2.767663e-10, 7.244673e-11, -1.410653e-10, 6.681098e-10, 6.239764e-10, 9.413478e-10
2015-03-21, 2.623938e-10, -2.952491e-11, -9.840710e-11, 6.683226e-10, 6.247607e-10, 9.415061e-10
2015-03-22, 2.409539e-10, -7.321788e-11, -5.472720e-11, 6.682775e-10, 6.249323e-10, 9.413422e-10
2015-03-23, 2.118294e-10, -1.102001e-10, -1.076999e-11, 6.680103e-10, 6.249384e-10, 9.409145e-10
2015-03-24, 1.748455e-10, -1.392665e-10, 3.287432e-11, 6.675851e-10, 6.248101e-10, 9.403162e-10
2015-03-25, 1.303532e-10, -1.598151e-10, 7.581702e-11, 6.670886e-10, 6.245948e-10, 9.396645e-10
2015-03-26, 7.923110e-11, -1.406560e-10, 1.178851e-10, 6.666202e-10, 6.239172e-10, 9.390851e-10
2015-03-27, 2.281989e-11, -1.512074e-10, 1.590943e-10, 6.662790e-10, 6.237118e-10, 9.386946e-10
2015-03-28, -3.717476e-11, -1.555829e-10, 1.995825e-10, 6.661481e-10, 6.236114e-10, 9.385833e-10
2015-03-29, -9.877318e-11, -1.554522e-10, 2.395177e-10, 6.662801e-10, 6.236699e-10, 9.388004e-10
2015-03-30, -1.597934e-10, -1.528258e-10, 2.790012e-10, 6.666854e-10, 6.239174e-10, 9.393457e-10
2015-03-31, -2.179217e-10, -1.498448e-10, 3.179885e-10, 6.673284e-10, 6.243519e-10, 9.401690e-10
2015-04-01, -2.708089e-10, -1.485642e-10, 3.562386e-10, 6.681299e-10, 6.249356e-10, 9.411775e-10
2015-04-02, -3.162010e-10, -1.507607e-10, 3.932904e-10, 6.689793e-10, 6.255980e-10, 9.422495e-10
2015-04-03, -3.520874e-10, -1.577827e-10, 4.284586e-10, 6.697515e-10, 6.262459e-10, 9.432534e-10
2015-04-04, -3.768395e-10, -1.704494e-10, 4.608406e-10, 6.703277e-10, 6.267798e-10, 9.440669e-10
2015-04-05, -3.893160e-10, -1.889955e-10, 4.893334e-10, 6.706158e-10, 6.271121e-10, 9.445954e-10
2015-04-06, -3.889312e-10, -2.130570e-10, 5.126666e-10, 6.705680e-10, 6.271854e-10, 9.447853e-10
2015-04-07, -3.756885e-10, -2.416921e-10, 5.294611e-10, 6.701906e-10, 6.269859e-10, 9.446309e-10
2015-04-08, -3.501918e-10, -2.734418e-10, 5.383217e-10, 6.695462e-10, 6.265489e-10, 9.441749e-10
2015-04-09, -3.136387e-10, -3.064357e-10, 5.379631e-10, 6.687446e-10, 6.259557e-10, 9.434995e-10
2015-04-10, -2.677967e-10, -3.385462e-10, 5.273629e-10, 6.679250e-10, 6.253193e-10, 9.427130e-10
2015-04-11, -2.149542e-10, -3.675788e-10, 5.059165e-10, 6.672302e-10, 6.247636e-10, 9.419306e-10
2015-04-12, -1.578312e-10, -3.914704e-10, 4.735650e-10, 6.667794e-10, 6.243987e-10, 9.412549e-10
2015-04-13, -9.943736e-11, -4.084583e-10, 4.308579e-10, 6.666439e-10, 6.242976e-10, 9.407592e-10
2015-04-14, -4.287287e-11, -4.171928e-10, 3.789289e-10, 6.668338e-10, 6.244819e-10, 9.404761e-10
2015-04-15, 8.908440e-12, -4.167918e-10, 3.352688e-10, 6.672975e-10, 6.249181e-10, 9.404137e-10
2015-04-16, 5.333844e-11, -4.068561e-10, 2.702693e-10, 6.679347e-10, 6.255274e-10, 9.404848e-10
2015-04-17, 8.843184e-11, -3.874697e-10, 2.015701e-10, 6.686182e-10, 6.262029e-10, 9.406321e-10
2015-04-18, 1.129087e-10, -3.591932e-10, 1.310328e-10, 6.692195e-10, 6.268327e-10, 9.407684e-10
2015-04-19, 1.262326e-10, -3.230451e-10, 6.030158e-11, 6.696321e-10, 6.273200e-10, 9.408114e-10
2015-04-20, 1.285766e-10, -2.804536e-10, -9.241471e-12, 6.697879e-10, 6.275991e-10, 9.406981e-10
2015-04-21, 1.207450e-10, -2.331672e-10, -7.645613e-11, 6.696661e-10, 6.276442e-10, 9.403940e-10
2015-04-22, 1.040763e-10, -1.831260e-10, -1.403855e-10, 6.692924e-10, 6.274692e-10, 9.398976e-10
2015-04-23, 8.034712e-11, -1.323077e-10, -2.001933e-10, 6.687313e-10, 6.271215e-10, 9.392392e-10
2015-04-24, 5.168067e-11, -2.829803e-11, -2.551291e-10, 6.680710e-10, 6.270898e-10, 9.384747e-10
2015-04-25, 2.044856e-11, 2.256744e-11, -3.177277e-10, 6.674062e-10, 6.266042e-10, 9.376566e-10
2015-04-26, -1.084964e-11, 6.870644e-11, -3.596603e-10, 6.668216e-10, 6.261579e-10, 9.369008e-10
2015-04-27, -3.974248e-11, 1.088487e-10, -3.950746e-10, 6.663778e-10, 6.258008e-10, 9.362551e-10
2015-04-28, -6.397455e-11, 1.419454e-10, -4.238982e-10, 6.661044e-10, 6.255592e-10, 9.357703e-10
2015-04-29, -8.170246e-11, 1.671496e-10, -4.462531e-10, 6.659995e-10, 6.254362e-10, 9.354722e-10
